"","COUNTRY","GDP..BILLIONS.","CODE"
"100","Italy",2129,"ITA"
"101","Jamaica",13.92,"JAM"
"102","Japan",4770,"JPN"
"103","Jersey",5.77,"JEY"
"104","Jordan",36.55,"JOR"
"105","Kazakhstan",225.6,"KAZ"
"106","Kenya",62.72,"KEN"
"107","Kiribati",0.16,"KIR"
"108","Korea, North",28,"PRK"
"109","Korea, South",1410,"KOR"
"110","Kosovo",5.99,"KSV"
"111","Kuwait",179.3,"KWT"
"112","Kyrgyzstan",7.65,"KGZ"
"113","Laos",11.71,"LAO"
"114","Latvia",32.82,"LVA"
"115","Lebanon",47.5,"LBN"
"116","Lesotho",2.46,"LSO"
"117","Liberia",2.07,"LBR"
"118","Libya",49.34,"LBY"
"119","Liechtenstein",5.11,"LIE"
"120","Lithuania",48.72,"LTU"
"121","Luxembourg",63.93,"LUX"
"122","Macau",51.68,"MAC"
"123","Macedonia",10.92,"MKD"
"124","Madagascar",11.19,"MDG"
"125","Malawi",4.41,"MWI"
"126","Malaysia",336.9,"MYS"
"127","Maldives",2.41,"MDV"
"128","Mali",12.04,"MLI"
"129","Malta",10.57,"MLT"
"130","Marshall Islands",0.18,"MHL"
"131","Mauritania",4.29,"MRT"
"132","Mauritius",12.72,"MUS"
"133","Mexico",1296,"MEX"
"134","Micronesia, Federated States of",0.34,"FSM"
"135","Moldova",7.74,"MDA"
"136","Monaco",6.06,"MCO"
"137","Mongolia",11.73,"MNG"
"138","Montenegro",4.66,"MNE"
"139","Morocco",112.6,"MAR"
"140","Mozambique",16.59,"MOZ"
"141","Namibia",13.11,"NAM"
"142","Nepal",19.64,"NPL"
"143","Netherlands",880.4,"NLD"
"144","New Caledonia",11.1,"NCL"
"145","New Zealand",201,"NZL"
"146","Nicaragua",11.85,"NIC"
"147","Nigeria",594.3,"NGA"
"148","Niger",8.29,"NER"
"149","Niue",0.01,"NIU"
"150","Northern Mariana Islands",1.23,"MNP"
"151","Norway",511.6,"NOR"
"152","Oman",80.54,"OMN"
"153","Pakistan",237.5,"PAK"
"154","Palau",0.65,"PLW"
"155","Panama",44.69,"PAN"
"156","Papua New Guinea",16.1,"PNG"
"157","Paraguay",31.3,"PRY"
"158","Peru",208.2,"PER"
"159","Philippines",284.6,"PHL"
"160","Poland",552.2,"POL"
"161","Portugal",228.2,"PRT"
"162","Puerto Rico",93.52,"PRI"
"163","Qatar",212,"QAT"
"164","Romania",199,"ROU"
"165","Russia",2057,"RUS"
"166","Rwanda",8,"RWA"
"167","Saint Kitts and Nevis",0.81,"KNA"
"168","Saint Lucia",1.35,"LCA"
"169","Saint Martin",0.56,"MAF"
"170","Saint Pierre and Miquelon",0.22,"SPM"
"171","Saint Vincent and the Grenadines",0.75,"VCT"
"172","Samoa",0.83,"WSM"
"173","San Marino",1.86,"SMR"
"174","Sao Tome and Principe",0.36,"STP"
"175","Saudi Arabia",777.9,"SAU"
"176","Senegal",15.88,"SEN"
"177","Serbia",42.65,"SRB"
"178","Seychelles",1.47,"SYC"
"179","Sierra Leone",5.41,"SLE"
"180","Singapore",307.9,"SGP"
"181","Sint Maarten",304.1,"SXM"
"182","Slovakia",99.75,"SVK"
"183","Slovenia",49.93,"SVN"
"184","Solomon Islands",1.16,"SLB"
"185","Somalia",2.37,"SOM"
"186","South Africa",341.2,"ZAF"
"187","South Sudan",11.89,"SSD"
"188","Spain",1400,"ESP"
"189","Sri Lanka",71.57,"LKA"
"190","Sudan",70.03,"SDN"
"191","Suriname",5.27,"SUR"
"192","Swaziland",3.84,"SWZ"
"193","Sweden",559.1,"SWE"
"194","Switzerland",679,"CHE"
"195","Syria",64.7,"SYR"
"196","Taiwan",529.5,"TWN"
"197","Tajikistan",9.16,"TJK"
"198","Tanzania",36.62,"TZA"
"199","Thailand",373.8,"THA"
"200","Timor-Leste",4.51,"TLS"
"201","Togo",4.84,"TGO"
"202","Tonga",0.49,"TON"
"203","Trinidad and Tobago",29.63,"TTO"
"204","Tunisia",49.12,"TUN"
"205","Turkey",813.3,"TUR"
"206","Turkmenistan",43.5,"TKM"
"207","Tuvalu",0.04,"TUV"
"208","Uganda",26.09,"UGA"
"209","Ukraine",134.9,"UKR"
"210","United Arab Emirates",416.4,"ARE"
"211","United Kingdom",2848,"GBR"
"212","United States",17420,"USA"
"213","Uruguay",55.6,"URY"
"214","Uzbekistan",63.08,"UZB"
"215","Vanuatu",0.82,"VUT"
"216","Venezuela",209.2,"VEN"
"217","Vietnam",187.8,"VNM"
"218","Virgin Islands",5.08,"VGB"
"219","West Bank",6.64,"WBG"
"220","Yemen",45.45,"YEM"
"221","Zambia",25.61,"ZMB"
"222","Zimbabwe",13.74,"ZWE"
